reading_id,session_id,city_name,state,recorded_at,date_only,hour_of_day,temperature,feels_like,temp_min,temp_max,humidity,pressure,visibility_km,cloudiness,weather_main,weather_description,wind_speed,wind_direction,rain_1h,snow_1h,data_source
150,14,Lucknow,Uttar Pradesh,2026-08-21T10:13:46,2026-08-21,10,35.05,42.05,35.05,35.05,63,1000.0,10.0,100,Clouds,overcast clouds,1.03,,0.0,0.0,OpenWeatherMap
141,14,Mumbai,Maharashtra,2026-08-21T10:13:45,2026-08-21,10,30.0,36.04,29.95,30.0,74,1007.0,10.0,92,Clouds,overcast clouds,7.72,270.0,0.0,0.0,OpenWeatherMap
142,14,Delhi,Delhi,2026-08-21T10:13:45,2026-08-21,10,35.98,42.98,35.06,35.98,52,1001.0,10.0,81,Clouds,broken clouds,4.12,320.0,0.0,0.0,OpenWeatherMap
143,14,Bangalore,Karnataka,2026-08-21T10:13:45,2026-08-21,10,28.28,29.63,27.19,29.13,58,1009.0,10.0,61,Clouds,broken clouds,5.35,261.0,0.0,0.0,OpenWeatherMap
144,14,Chennai,Tamil Nadu,2026-08-21T10:13:45,2026-08-21,10,31.09,38.09,31.09,34.01,72,1005.0,10.0,87,Clouds,overcast clouds,5.14,140.0,0.0,0.0,OpenWeatherMap
145,14,Kolkata,West Bengal,2026-08-21T10:13:45,2026-08-21,10,32.96,39.96,32.96,32.96,79,999.0,10.0,81,Clouds,broken clouds,3.09,150.0,0.0,0.0,OpenWeatherMap
146,14,Hyderabad,Telangana,2026-08-21T10:13:45,2026-08-21,10,31.23,33.21,30.73,31.23,51,1008.0,10.0,98,Clouds,overcast clouds,6.17,320.0,0.0,0.0,OpenWeatherMap
147,14,Pune,Maharashtra,2026-08-21T10:13:45,2026-08-21,10,29.32,28.94,27.5,29.49,40,1010.0,10.0,75,Clouds,broken clouds,7.34,267.0,0.0,0.0,OpenWeatherMap
148,14,Ahmedabad,Gujarat,2026-08-21T10:13:45,2026-08-21,10,27.02,29.23,27.02,27.02,74,1004.0,10.0,99,Clouds,overcast clouds,2.06,200.0,0.0,0.0,OpenWeatherMap
149,14,Jaipur,Rajasthan,2026-08-21T10:13:45,2026-08-21,10,32.68,36.21,32.68,32.68,52,1003.0,10.0,93,Rain,light rain,3.6,280.0,0.14,0.0,OpenWeatherMap
61,6,Mumbai,Maharashtra,2026-08-21T07:07:03,2026-08-21,7,31.0,37.6,29.95,31.0,70,1009.0,10.0,100,Rain,light rain,7.72,270.0,0.18,0.0,OpenWeatherMap
62,6,Delhi,Delhi,2026-08-21T07:07:03,2026-08-21,7,33.99,40.16,33.99,34.07,55,1004.0,10.0,44,Clouds,scattered clouds,6.17,240.0,0.0,0.0,OpenWeatherMap
63,6,Bangalore,Karnataka,2026-08-21T07:07:03,2026-08-21,7,27.07,28.56,25.59,28.12,65,1012.0,10.0,20,Clouds,few clouds,5.14,260.0,0.0,0.0,OpenWeatherMap
